id,duration,age,job,marital,education,credit_default,housing,loan
0,261,56,housemaid,married,basic_4y,no,no,no
1,149,57,services,married,high_school,unknown,no,no
2,226,37,services,married,high_school,no,yes,no
3,151,40,admin,married,basic_6y,no,no,no
4,307,56,services,married,high_school,no,no,yes
5,198,45,services,married,basic_9y,unknown,no,no
6,139,59,admin,married,professional_course,no,no,no
7,217,41,blue-collar,married,,unknown,no,no
8,380,24,technician,single,professional_course,no,yes,no
9,50,25,services,single,high_school,no,yes,no
10,55,41,blue-collar,married,,unknown,no,no
11,222,25,services,single,high_school,no,yes,no
12,137,29,blue-collar,single,high_school,no,no,yes
13,293,57,housemaid,divorced,basic_4y,no,yes,no
14,146,35,blue-collar,married,basic_6y,no,yes,no
15,174,54,retired,married,basic_9y,unknown,yes,yes
16,312,35,blue-collar,married,basic_6y,no,yes,no
17,440,46,blue-collar,married,basic_6y,unknown,yes,yes
18,353,50,blue-collar,married,basic_9y,no,yes,yes
19,195,39,management,single,basic_9y,unknown,no,no
20,38,30,unemployed,married,high_school,no,no,no
21,262,55,blue-collar,married,basic_4y,unknown,yes,no
22,342,55,retired,single,high_school,no,yes,no
23,181,41,technician,single,high_school,no,yes,no
24,172,37,admin,married,high_school,no,yes,no
25,99,35,technician,married,university_degree,no,no,yes
26,93,59,technician,married,,no,yes,no
27,233,39,self-employed,married,basic_9y,unknown,no,no
28,255,54,technician,single,university_degree,unknown,no,no
29,362,55,unknown,married,university_degree,unknown,unknown,unknown
30,348,46,admin,married,,no,no,no
31,386,59,technician,married,,no,yes,no
32,73,49,blue-collar,married,,no,no,no
33,230,54,management,married,basic_4y,unknown,yes,no
34,208,54,blue-collar,divorced,basic_4y,no,no,no
35,336,55,unknown,married,basic_4y,unknown,yes,no
36,365,34,services,married,high_school,no,no,no
37,1666,52,technician,married,basic_9y,no,yes,no
38,577,41,admin,married,university_degree,no,yes,no
39,137,56,technician,married,basic_4y,no,yes,no
40,366,58,management,unknown,university_degree,no,yes,no
41,314,32,entrepreneur,married,high_school,no,yes,no
42,160,38,admin,single,professional_course,no,no,no
43,212,57,admin,married,university_degree,no,no,yes
44,188,44,admin,married,university_degree,unknown,yes,no
45,22,42,technician,single,professional_course,unknown,no,no
46,616,57,admin,married,university_degree,no,yes,yes
47,178,40,blue-collar,married,basic_9y,no,no,yes
48,355,35,admin,married,university_degree,no,yes,no
49,225,45,blue-collar,married,basic_9y,no,yes,no
50,160,54,admin,married,high_school,no,no,no
51,266,39,housemaid,married,basic_4y,no,no,yes
52,253,60,admin,married,high_school,no,no,no
53,179,53,admin,single,professional_course,no,no,no
54,269,55,blue-collar,married,basic_4y,unknown,no,no
55,135,55,technician,married,professional_course,unknown,yes,no
56,161,50,management,married,university_degree,unknown,no,yes
57,787,45,services,married,high_school,unknown,yes,no
58,145,55,unemployed,married,professional_course,unknown,yes,yes
59,174,25,technician,single,university_degree,no,yes,no
60,449,47,entrepreneur,married,university_degree,unknown,no,no
61,812,51,blue-collar,married,basic_9y,no,yes,no
62,164,42,blue-collar,married,basic_6y,unknown,yes,no
63,366,42,blue-collar,married,basic_6y,unknown,no,no
64,357,48,admin,married,high_school,no,no,no
65,232,37,admin,married,university_degree,no,no,no
66,91,44,blue-collar,single,basic_9y,no,yes,no
67,273,33,admin,married,,no,yes,no
68,158,56,admin,married,basic_9y,no,yes,no
69,177,44,blue-collar,single,basic_4y,unknown,yes,yes
70,200,41,management,married,basic_6y,no,no,no
71,172,44,management,divorced,university_degree,no,yes,no
72,176,47,admin,married,university_degree,unknown,yes,no
73,211,57,unknown,married,,unknown,no,no
74,214,37,admin,married,university_degree,unknown,yes,no
75,1575,41,blue-collar,divorced,basic_4y,unknown,yes,no
76,349,55,technician,married,university_degree,no,no,no
77,337,33,services,married,high_school,unknown,yes,no
78,272,55,management,married,,unknown,yes,no
79,208,42,blue-collar,married,basic_9y,unknown,no,no
80,193,50,blue-collar,married,basic_4y,unknown,yes,no
81,212,51,blue-collar,married,basic_4y,unknown,unknown,unknown
82,165,38,admin,married,high_school,unknown,no,no
83,1042,49,entrepreneur,married,university_degree,unknown,yes,no
84,20,38,technician,single,university_degree,no,no,yes
85,246,31,admin,divorced,high_school,no,no,no
86,529,41,management,married,basic_6y,no,no,no
87,192,39,admin,married,university_degree,no,yes,yes
88,1467,49,technician,married,basic_9y,no,no,no
89,188,34,admin,married,high_school,no,yes,no
90,180,35,admin,married,university_degree,no,yes,no
91,48,57,unknown,married,,unknown,yes,no
92,213,60,admin,married,,unknown,no,yes
93,545,33,unemployed,married,basic_9y,no,no,no
94,583,42,blue-collar,married,basic_6y,no,no,yes
95,221,45,services,married,professional_course,no,yes,no
96,426,42,management,married,university_degree,no,no,no
97,287,53,admin,divorced,university_degree,unknown,no,no
98,197,37,technician,single,professional_course,no,no,no
99,257,44,blue-collar,married,basic_6y,no,no,no
100,229,54,services,married,,no,yes,no
101,55,49,blue-collar,married,basic_4y,no,no,no
102,400,54,services,married,,no,no,no
103,197,52,admin,divorced,university_degree,no,no,no
104,190,52,admin,divorced,university_degree,no,no,no
105,21,43,services,single,high_school,unknown,no,no
106,300,34,housemaid,married,basic_6y,no,yes,no
107,123,35,admin,married,high_school,no,yes,no
108,293,42,entrepreneur,married,,unknown,yes,no
109,325,43,technician,married,,unknown,yes,yes
110,514,60,retired,divorced,university_degree,unknown,no,no
111,849,58,unemployed,married,basic_4y,unknown,no,no
112,194,35,services,divorced,high_school,no,yes,no
113,212,55,blue-collar,married,basic_9y,unknown,yes,no
114,337,37,management,married,university_degree,no,no,no
115,286,36,blue-collar,married,high_school,no,no,no
116,247,52,admin,divorced,university_degree,no,no,no
117,518,57,blue-collar,divorced,,unknown,yes,no
118,364,56,admin,married,,no,yes,no
119,178,48,blue-collar,divorced,basic_4y,unknown,yes,no
120,98,40,blue-collar,married,high_school,unknown,yes,no
121,439,49,blue-collar,divorced,high_school,no,no,no
122,139,41,services,married,high_school,no,no,no
123,79,45,technician,married,high_school,no,yes,no
124,175,32,admin,married,university_degree,no,yes,yes
125,262,42,admin,married,university_degree,no,no,yes
126,61,50,admin,married,basic_6y,no,no,no
127,78,31,technician,divorced,professional_course,no,yes,yes
128,102,56,retired,married,basic_4y,no,yes,no
129,579,41,technician,married,professional_course,unknown,yes,no
130,143,37,blue-collar,married,basic_6y,no,yes,yes
131,677,41,technician,married,professional_course,unknown,no,no
132,267,35,blue-collar,married,,no,yes,no
133,345,37,blue-collar,married,basic_6y,no,yes,no
134,185,52,management,married,university_degree,no,no,no
135,207,39,management,divorced,university_degree,no,no,no
136,69,39,housemaid,married,basic_4y,unknown,no,no
137,100,56,blue-collar,married,basic_4y,unknown,no,no
138,125,34,services,married,high_school,no,yes,no
139,461,45,blue-collar,married,basic_9y,unknown,yes,no
140,240,43,unemployed,single,university_degree,no,yes,no
141,70,56,management,married,,no,yes,no
142,193,39,management,married,university_degree,no,yes,no
143,136,53,blue-collar,married,basic_4y,no,yes,no
144,73,38,unknown,divorced,high_school,unknown,yes,no
145,528,42,blue-collar,married,basic_4y,unknown,yes,no
146,541,42,blue-collar,married,basic_4y,unknown,no,no
147,338,35,admin,single,high_school,no,yes,no
148,163,40,admin,married,university_degree,unknown,yes,no
149,87,51,blue-collar,married,basic_4y,no,yes,no
150,301,60,blue-collar,married,basic_9y,unknown,no,no
151,46,56,entrepreneur,married,,unknown,yes,no
152,52,39,services,divorced,high_school,unknown,yes,no
153,204,56,entrepreneur,married,,unknown,no,no
154,155,40,blue-collar,married,,no,yes,yes
155,98,36,blue-collar,married,basic_9y,no,yes,yes
156,71,51,blue-collar,married,,unknown,yes,no
157,243,51,blue-collar,married,,unknown,no,no
158,186,43,technician,single,professional_course,no,yes,no
159,579,59,services,married,high_school,no,no,no
160,165,24,management,single,university_degree,no,yes,no
161,163,37,blue-collar,single,basic_9y,unknown,yes,yes
162,46,40,blue-collar,married,basic_9y,unknown,no,no
163,559,42,blue-collar,married,basic_9y,unknown,no,no
164,2033,39,services,divorced,high_school,unknown,no,no
165,85,37,entrepreneur,married,basic_6y,no,no,no
166,506,38,services,married,high_school,no,yes,yes
167,114,56,admin,divorced,,unknown,no,no
168,114,40,blue-collar,married,,no,no,no
169,843,54,management,divorced,university_degree,no,yes,no
170,181,43,blue-collar,married,high_school,unknown,no,yes
171,427,36,services,married,high_school,unknown,no,no
172,292,45,technician,married,university_degree,no,yes,yes
173,192,42,admin,single,university_degree,unknown,no,no
174,93,43,services,married,high_school,no,no,no
175,128,46,management,married,basic_9y,no,no,no
176,107,44,services,married,high_school,no,yes,yes
177,303,51,admin,single,basic_6y,no,no,no
178,81,28,services,married,high_school,no,yes,no
179,270,37,blue-collar,married,basic_9y,no,no,no
180,228,34,technician,married,high_school,no,no,no
181,240,46,blue-collar,married,basic_6y,unknown,yes,no
182,673,42,blue-collar,married,basic_9y,no,yes,yes
183,233,36,admin,married,university_degree,no,yes,no
184,102,54,blue-collar,married,basic_4y,unknown,no,no
185,461,57,management,married,university_degree,no,no,no
186,250,51,technician,married,basic_6y,unknown,no,no
187,130,54,retired,married,high_school,unknown,no,no
188,252,49,blue-collar,married,basic_4y,unknown,no,no
189,138,34,admin,married,university_degree,no,yes,no
190,412,41,technician,married,professional_course,no,no,no
191,179,38,blue-collar,single,basic_9y,no,yes,no
192,19,45,management,divorced,university_degree,no,no,no
193,228,42,technician,married,university_degree,no,no,no
194,55,34,blue-collar,single,basic_9y,unknown,yes,no
195,717,48,blue-collar,married,basic_4y,no,yes,no
196,313,37,admin,married,high_school,unknown,yes,no
197,289,34,blue-collar,single,basic_9y,unknown,no,no
198,683,40,admin,married,basic_9y,unknown,yes,no
199,1077,43,blue-collar,married,basic_6y,no,yes,no
200,146,33,services,married,high_school,no,no,no
201,167,32,services,single,basic_6y,no,no,no
202,356,39,blue-collar,married,high_school,no,yes,no
203,277,43,admin,married,,no,no,no
204,172,44,blue-collar,married,basic_9y,no,yes,no
205,218,35,student,single,university_degree,unknown,no,no
206,217,35,student,single,university_degree,unknown,yes,yes
207,67,35,unemployed,married,professional_course,no,no,no
208,291,36,services,single,basic_4y,no,no,no
209,248,35,student,single,university_degree,unknown,yes,no
210,256,36,student,single,basic_9y,no,yes,no
211,286,55,housemaid,divorced,university_degree,no,no,no
212,477,59,admin,married,university_degree,no,no,no
213,611,57,retired,married,,unknown,no,no
214,471,39,blue-collar,married,professional_course,unknown,yes,no
